e.6cbf55e7c81df51d,e.785f8ac3c1ea1c93,p.6cbf55e7c81df51d,p.785f8ac3c1ea1c93,q.0,q.12c413657efa280e,q.15344ef7910c2692,q.155332a4fba33e8f,q.16de1501ad6d003e,q.175ed29f1d4c8f03,q.1a2c43d7d39b748b,q.1b3bce987495336c,q.1cc005c01b3a8aa3,q.1e299bdd1cf7a625,q.1fa28c0ba7f9aec8,q.21fb19005f6951c4,q.23b59dd0c808f4c6,q.23b7f472edde0ce6,q.277e44a955cf2949,q.27ce5f24555e180a,q.2b3296a08411ef24,q.2c509f1ed2220464,q.2e09446e39e26d42,q.2e28d0e1402904b2,q.30355f4cc6ee0d6c,q.314a75fdd331c3f8,q.34e6a18f315e7d2f,q.36c2c875df9317b4,q.38319f8fc78ab9de,q.3a50160006e2d12d,q.3af0af64c28fa6d5,q.3b3de5d772c846cf,q.3c333e5504c64ad3,q.3f72bdc1b8ddb24,q.404c71da2e4826c2,q.41d91f7a05beb14a,q.42107779fcd075ef,q.44eb95b6005c26b,q.463e39a4acf55512,q.46b40798beef0876,q.46b9e5597a64f0e7,q.46d0a9841d8d15,q.48c3dc4f13827d2d,q.4c781fca13c4e0fa,q.4d5895b6699ba297,q.4ebdc6945a09b165,q.5049294d0dee99ae,q.5289fdf1dab07838,q.52e137ce5f0856e0,q.52ed044d2326c87d,q.54724e8bdf60a268,q.564397e6a3409cfe,q.56a5967121715c3c,q.56e2545df60a134c,q.5721c438ee6a188,q.57636a074c36eb44,q.584140440d5f0b68,q.5a62368ba35d9f59,q.5b76e1c3a932bdb,q.5bf42ebbc692409e,q.5dcb2b57a2af77bb,q.5f78ee4ca30b8f0d,q.6368bf5907564a9f,q.6370b0a836a3beb4,q.646d77117c488059,q.66c1b6f1560356ef,q.6753d8830d386858,q.69415bdf089224e8,q.6cbf55e7c81df51d,q.6d402b60e647a2d7,q.705c41a579498d1e,q.72cdc719088a4dda,q.751c75311f458392,q.7740b3afa5fd1810,q.78791357f01233fb,q.789f400a72f2dde3,q.7d67c4cb4a009d55,q.7e11a7bed0e877d5,q.7e56f3238e6c5904,q.7f34381df64db829,q.80aebdbe9dd8458c,q.8350ab20dc5792f3,q.84ae95a99c262132,q.852fd389ae7973c2,q.876a996d5a5cd7b2,q.8773ae79bcad770c,q.87aa120f411c2179,q.87b6b254c9c11cda,q.88352d6f7fe4e61,q.8d69b9298323ec70,q.8f6bacae26b4b931,q.923637a75b13b040,q.947d43cae6516e8e,q.95056fa74f629407,q.960cae7c9416fa60,q.9659def20a9fb5a5,q.981c089fc6a7c217,q.9b7cbe367825f927,q.9c5eceaf0623e18c,q.9d80224ec132cf41,q.9d8ea5f691e722f0,q.9ded7beedd0f70cb,q.9e86aa7f2763be5e,q.9eb154a7fffbe8f,q.9f54a36da2622d71,q.9f8cced1c9ffc6b0,q.9f8e824f8a7ac716,q.a2238cd4e486d2d5,q.a2fbe5b11ecfc533,q.a51a6c786827204,q.a68288650ab00b3e,q.a889f479fdf5019d,q.a9c93f094ffdbf82,q.a9ef4b816bb40994,q.aa3f62d8a180aa96,q.abc79ea95b6fb13,q.ac17f45cb7a2d2c1,q.ade8b59d3591ed97,q.aebc9a0baa527ef6,q.af0d11cae13076c7,q.b024d96d59fe3a67,q.b0947f6d4b41705b,q.b21cac0c6ac1883e,q.b30f5d73d9085e77,q.b4c5f3d55b4e9dc,q.b5397410b8da884d,q.b64a56fe210ee76,q.b8797c414f047fed,q.b87b94fab9e5721,q.b8ec54ce9fa0f604,q.b9001ad4b447f16d,q.b9e6525c9ea322f5,q.bce63656bdf433f7,q.bd7535fc411c2caa,q.c0828d14a81970a6,q.c1bdd6db1974733a,q.c43bdbf9dee1c202,q.c6ab3657420f873b,q.c7a08d59145a63b3,q.cb35558f37b42e38,q.cb6c67abb40b0c5c,q.ccd33ab245c7b6d6,q.cec1c2e07c1de04b,q.cfaa49b6b55da512,q.d237e32dad87729e,q.d347f27623a3ca1e,q.d3a5b39a7ad5a0ca,q.d52f7dd1c179cccc,q.d6795b2b7f551108,q.d6a0d48d06de0363,q.d82ac4b490ed4190,q.d849c2d7d1d265d1,q.d8e8b4c4871429a2,q.dbbde0bc0f9b2209,q.dc39ad5012857c15,q.dc4dd443f9934487,q.dd4f64b58cf72d5c,q.de51ba3769c3249,q.de5b2c348b0f3ff1,q.df3b06727682dba6,q.e100cfa642af9961,q.e14cf04d1a2d6591,q.e2b7d168421c100d,q.e2bc3c157c67d836,q.e2e6e9dc24bfff8b,q.e63ce6956e06be12,q.e7680c04ff2596b,q.e77769c62ef669aa,q.e842348ba2f11f0e,q.eb2ad90db7674b87,q.eb465dc2ac982544,q.ebc37510f9820b16,q.ec9dde9dbdf020cb,q.ed235abd1be8d96b,q.ed630e127180f97d,q.ed89ba6de0fb1f6d,q.efde08274f9bf517,q.f1199fb8140b5877,q.f3228b87e7b1b7f3,q.f38279ed28be5363,q.f3dcff7d95f7730f,q.f6a9f5f4a79af318,q.f868b5793b7ff2d,q.ff60c9b4f7de6530,user_us
0,11652,0,8375,0,0,55307,0,7594,18228,4335,0,0,0,443,2943911,0,0,301967,8702,14385485,2310,1840,4719,0,948,0,68,26047,0,41257,0,5841,0,11286,9878,18779,0,2176,0,56,0,0,0,0,0,0,0,0,6471,0,0,0,4650,1482,0,0,0,0,0,5925,0,2893872,13161,0,0,4549,0,0,0,0,15851,1353,0,1671,0,0,0,0,100138,0,0,7551,1814,5172,14226,18355,0,2021,0,0,0,0,0,1283,6502,2511,4608,64956,4755,0,0,0,0,0,3762,9889,4587556,703,71,35129,0,0,9834,0,0,614566,0,61293,0,5479,0,2539,6309,4617,4317,13487,0,0,178,7585,0,1963,6699,0,0,0,12539,0,814,5138,0,68,0,434,0,0,0,0,0,878,3152,0,0,7164,0,5735,1184,175476,0,0,4428,1302,12194,0,4441,0,0,0,137607,755,0,0,67,0,0,0,1176,0,0,0,7882,0,10429,87460000
0,11840,0,8612,0,0,27981,0,10747,16635,1602,0,0,0,0,3977668,0,0,279121,3149,21365568,0,2019,2556,0,0,0,0,35476,0,15134,2880,3093,0,3492,0,10332,0,0,0,0,0,0,0,0,0,0,0,0,2878,0,0,0,1810,2322,0,0,0,0,0,5094,0,3078839,10640,0,0,2078,0,0,0,0,12805,0,0,0,0,0,0,0,92120,0,0,7405,0,2122,8154,14281,0,1635,0,0,0,0,0,2604,3197,0,2334,30857,2161,0,0,0,0,0,1298,8794,4335694,0,0,37943,0,0,7889,0,0,596938,367,21067,0,3628,0,599,4246,4004,1723,13921,0,0,0,5355,0,0,2241,0,0,0,17501,0,0,5326,0,0,0,0,0,0,0,0,0,0,1530,0,0,4826,0,2578,414,196026,0,0,1105,0,13212,0,2374,0,0,0,141339,1044,0,0,0,0,0,0,0,0,0,0,4160,0,23495,108010000
0,9971,0,7305,0,0,66122,0,14075,27764,5361,0,0,0,0,2016662,0,0,317775,8014,9345235,1481,1650,5138,0,0,0,62,24118,0,29400,585,7566,0,3203,0,19123,0,1086,0,113,0,0,312,0,0,0,0,0,8879,0,0,0,1457,914,0,0,0,0,0,6346,943,2989225,25116,0,0,6284,0,0,0,0,22284,0,0,913,0,669,0,550,99877,0,0,4281,0,1539,16615,17164,0,741,0,0,0,0,0,5200,9319,2512,5310,75591,6572,0,0,0,0,241509,5103,15501,4512798,761,67,32943,0,0,14419,0,0,601669,0,54595,0,8551,0,592,8061,6206,788,14413,0,0,0,7277,0,859,6675,0,0,0,20067,0,542,4996,0,92,0,0,0,0,0,0,0,0,1115,0,0,6574,0,4888,0,183605,448,0,1490,0,19305,0,7024,0,0,0,138916,1691,0,0,119,0,297,0,0,1986,0,0,9922,0,14926,72530000
0,10091,0,7635,0,0,66314,0,7594,26355,5546,0,0,0,0,2624791,0,0,323050,5874,13144110,0,1747,5628,0,787,0,42,25028,0,44996,3610,6146,0,5177,2471,16910,0,1116,0,52,758,0,0,0,0,0,0,0,7499,0,0,0,3070,285,361,0,0,0,0,4955,1656,3019600,21699,0,0,5648,0,0,0,0,21005,0,0,0,0,597,0,0,102512,0,0,3950,1584,2816,12699,13019,0,1464,0,0,0,0,0,6246,8148,0,5963,76211,5470,0,0,0,0,0,3913,14771,5164706,322,40,30252,0,0,10402,0,0,597307,974,53140,0,9792,0,2905,7835,7268,3105,10580,0,0,0,7259,0,992,6299,0,0,0,22298,0,0,4514,0,55,0,360,0,0,0,0,0,0,2495,0,0,7576,0,4791,800,184291,0,0,3428,730,19845,0,5732,0,0,257,127283,2209,0,0,42,0,0,0,393,1936,0,0,8811,0,17981,83590000
0,10486,0,7740,0,0,48474,333,11208,20720,2909,0,0,0,0,3003878,702,0,326017,6154,15622287,2056,1681,2963,431,0,0,0,28066,0,38696,1048,4297,0,2328,0,22930,0,0,0,0,1906,0,0,0,0,1276,0,0,5465,0,576,0,947,11903,0,0,0,0,0,4857,332,2620678,16106,0,645,4450,0,1899,0,0,14318,0,0,0,0,1576,0,0,99983,0,0,6050,323,1089,10600,14407,0,1165,0,0,381,517,0,5702,2672,0,3689,60817,4977,0,0,0,0,0,2938,19249,5683565,0,0,33614,0,0,7964,0,0,630604,571,42891,1897,5196,0,572,5585,4079,547,15656,0,0,0,6341,0,0,4437,0,0,460,24443,787,0,5107,0,0,0,0,0,0,0,0,0,0,548,0,0,7128,0,3096,313,180112,0,0,580,0,13838,0,3790,151,0,0,194426,0,0,0,0,0,0,0,0,1797,845,0,6392,0,9495,91130000
0,12201,0,8985,0,0,39364,0,10956,20826,3667,0,0,0,424,3157924,0,0,319708,5792,15329721,1748,1826,5598,0,0,0,0,32249,0,37148,751,4258,0,2109,0,18158,0,0,0,0,475,0,0,0,0,0,0,0,4562,0,0,0,1067,441,0,0,0,0,0,6326,2167,2855423,13141,0,0,4563,0,0,0,0,15897,0,0,0,0,754,0,0,104122,0,0,8039,0,1543,9056,19228,0,1285,0,0,0,0,0,4955,7453,3190,4092,46163,4429,0,0,0,0,0,3449,9370,4254500,0,0,27416,0,0,6184,0,0,596129,0,34428,0,6171,0,380,7866,6103,798,13729,0,0,299,4440,0,0,4712,0,0,0,19564,0,0,5206,0,0,0,0,0,0,0,0,0,0,180,0,0,4347,0,3390,0,179359,0,0,1215,0,13727,0,3913,0,0,0,121647,1073,0,0,0,0,0,0,0,1453,0,0,7554,0,9949,92780000
0,9163,0,7123,0,0,66714,0,13542,18574,5383,0,641,0,0,2260535,0,0,326930,6359,10834549,2159,1624,5585,0,0,0,0,31869,0,36858,3824,7131,6246,1846,7019,19013,0,0,0,0,822,596,0,0,0,0,0,0,7534,0,0,0,590,349,0,0,0,0,0,6250,1082,2671513,14299,0,0,5668,0,0,0,0,14327,0,0,351,0,0,0,0,105783,0,0,4715,402,782,9828,12410,0,808,0,0,0,466,0,5245,9512,2432,5554,75462,6430,0,0,0,0,0,5019,7632,5291190,0,0,28347,4322,0,6821,0,0,596733,828,67522,7197,7009,0,1240,7844,5294,432,15826,0,0,0,6752,0,0,7539,0,0,0,12418,0,0,5029,0,0,1791,457,0,0,0,0,0,0,455,0,0,6379,0,3189,272,176581,0,0,313,0,14195,0,5562,0,0,0,118097,1093,0,0,0,0,0,0,0,2897,0,0,7798,0,9454,76940000
0,10438,0,7678,0,0,65589,0,10804,16386,5484,0,0,0,0,3147223,0,0,328181,6439,16430769,1434,1587,5543,0,966,0,0,26808,0,44606,1475,7199,0,2831,0,28465,0,0,0,0,447,0,0,0,0,0,0,0,8845,0,0,0,1637,357,0,0,433,0,0,4858,12393,2591337,25841,0,0,8108,0,0,0,0,13708,635,0,707,0,3106,540,0,108168,0,0,6749,742,2400,3730,15741,0,290,0,0,484,0,0,6356,9321,332,7360,77332,5676,0,0,0,0,0,5074,10378,6273148,0,0,57097,0,0,2688,0,0,594228,1080,56924,0,9333,0,2243,9540,6285,1863,12252,0,0,0,6588,0,0,7797,0,0,0,37948,0,0,4612,0,0,0,0,0,0,0,0,0,0,959,0,0,6298,0,1877,1115,170155,0,0,1593,964,12307,0,5547,0,0,248,136875,2629,0,0,0,0,0,0,827,12542,0,0,9344,0,8697,94630000
0,10689,0,7848,0,0,69241,403,7574,21340,4988,0,0,0,408,3160716,241,0,328537,5300,15785288,2723,1784,6950,0,0,0,0,23619,0,40702,1484,7157,0,5609,0,24483,0,0,0,0,1379,0,0,0,0,0,0,0,7519,0,938,0,1653,1101,0,0,0,0,0,6088,401,3008554,17035,0,333,5642,0,0,0,0,16539,0,0,706,0,1332,633,0,96486,0,0,6525,390,2763,12284,14933,0,870,0,0,0,0,0,3876,9375,3126,6111,75491,5428,0,0,0,0,0,3963,10158,4947991,0,0,27523,0,0,10636,0,0,598099,478,61839,0,9291,0,797,9460,5006,1140,11055,0,0,172,7222,0,421,10036,0,0,0,18949,1421,0,5332,0,0,0,416,0,0,0,0,0,497,1691,0,0,5946,0,3658,518,183893,0,0,1896,379,15943,0,5180,0,0,0,129977,2168,0,0,0,0,0,0,0,4357,1092,0,8919,0,9833,95470000
0,11099,0,8142,0,0,69776,0,11199,18086,5160,0,0,0,0,2296600,0,0,293745,10650,10871306,1893,1854,6633,0,391,0,0,33866,0,33462,4209,6812,0,1607,5679,19967,0,0,0,0,705,0,0,0,0,1077,0,0,8524,0,0,0,850,824,0,0,0,0,0,5333,1582,2765688,15395,0,0,7478,0,1624,0,0,16550,0,0,358,0,430,0,0,93074,0,0,4548,0,770,6627,17438,0,660,0,0,0,0,0,4493,7927,6339,7086,74389,6311,0,0,0,0,0,3848,8612,3782679,0,0,42615,0,0,6088,0,0,593437,0,67107,0,8007,0,618,8023,6288,466,10841,0,0,180,7253,0,0,6248,0,0,0,24433,0,0,5035,0,0,0,1405,0,0,0,0,0,0,443,0,0,9057,0,2632,0,176823,0,0,294,0,12248,0,5799,233,0,0,107644,2174,0,0,0,0,0,0,0,309,0,0,9445,0,8831,73950000
